,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,5909,5955,5902,5910,5930,6003,5933,5900,5948,6018,5985,5948,5909,5908,5857,6017,5975,6015,5839,5918,5980,5990,6126,5949,5820,5968,5954,6117,5970,5951,5903,5887,5955,5974,5969,5993,5908,6000,6068,6043,5921,6164,5991,5976,5923,5993,6006,5991,5842,5989,6019,6082,5984,6133,5958,5989,6030,5982,6065,6018,5910,6157,6010,6079,6004,6083,6061,5922,5998,6021,5946,6060,5999,5956,5977,6049,6074,6031,6077,5905,6154,6042,5944,6112,5705,5876,6045,6012,6136,6059,6043,6037,5992,5998,6047,5784
,2,5895,5936,5889,5896,5919,5991,5924,5894,5931,5999,5970,5931,5893,5893,5845,6004,5966,6006,5832,5909,5969,5985,6109,5936,5805,5965,5938,6114,5964,5948,5901,5883,5952,5965,5959,5979,5898,5989,6062,6031,5916,6154,5988,5970,5921,5985,6001,5982,5827,5976,6010,6077,5978,6126,5957,5986,6020,5978,6059,6000,5897,6149,6004,6069,5998,6079,6057,5922,5991,6019,5937,6046,5985,5950,5970,6043,6069,6024,6068,5911,6144,6038,5940,6102,5693,5866,6034,6007,6127,6058,6042,6039,5987,5988,6041,5773
,3,5884,5933,5877,5894,5908,5987,5914,5888,5924,5994,5963,5924,5880,5888,5835,6000,5962,6005,5826,5908,5963,5978,6101,5932,5801,5959,5929,6108,5960,5944,5896,5878,5947,5963,5953,5972,5889,5979,6056,6025,5911,6150,5982,5970,5915,5989,5997,5977,5824,5968,6005,6072,5973,6126,5955,5984,6021,5974,6057,5999,5888,6140,6003,6067,5996,6079,6051,5920,5989,6013,5935,6039,5973,5943,5963,6042,6064,6022,6065,5909,6138,6035,5939,6093,5688,5862,6028,6001,6120,6054,6038,6034,5984,5988,6034,5770
,4,5881,5926,5876,5886,5906,5981,5914,5884,5922,5987,5960,5919,5878,5882,5833,5996,5957,5998,5825,5904,5961,5972,6097,5925,5800,5944,5931,6100,5959,5942,5893,5875,5945,5957,5951,5965,5883,5975,6052,6021,5909,6147,5978,5966,5915,5981,5997,5970,5813,5965,5999,6068,5973,6118,5957,5981,6012,5978,6054,5990,5883,6138,6000,6061,5993,6075,6048,5921,5984,6010,5933,6036,5973,5934,5959,6037,6061,6022,6063,5907,6134,6042,5936,6090,5686,5857,6018,6000,6117,6045,6032,6026,5980,5987,6031,5776
,5,5876,5921,5873,5883,5902,5980,5907,5885,5916,5986,5956,5916,5872,5881,5829,5996,5955,6001,5822,5903,5955,5973,6091,5923,5795,5946,5924,6099,5954,5942,5887,5879,5939,5957,5949,5962,5884,5970,6051,6016,5906,6145,5976,5964,5913,5982,5991,5970,5811,5965,5997,6066,5970,6121,5951,5985,6012,5973,6053,5991,5880,6134,5997,6053,5989,6072,6045,5916,5979,6007,5933,6031,5964,5935,5953,6038,6058,6017,6061,5905,6133,6038,5937,6084,5681,5853,6015,5997,6112,6050,6030,6030,5980,5983,6028,5765
,6,5870,5924,5868,5887,5898,5978,5907,5879,5919,5981,5955,5913,5873,5876,5828,5991,5947,5994,5818,5900,5954,5969,6087,5921,5790,5938,5922,6098,5955,5941,5890,5870,5944,5952,5947,5958,5882,5967,6045,6014,5904,6140,5974,5964,5912,5983,5991,5964,5807,5962,5993,6065,5970,6115,5954,5978,6016,5970,6057,5984,5872,6129,5996,6055,5990,6074,6043,5918,5981,6008,5927,6031,5962,5936,5952,6034,6056,6013,6060,5904,6135,6034,5935,6078,5681,5850,6012,5994,6107,6048,6027,6030,5976,5983,6023,5766
,7,5870,5918,5865,5883,5899,5972,5905,5881,5912,5984,5951,5912,5869,5875,5827,5986,5952,5992,5821,5896,5954,5963,6083,5923,5792,5931,5923,6090,5953,5939,5888,5875,5936,5955,5944,5953,5875,5964,6041,6012,5901,6139,5970,5962,5910,5983,5990,5966,5804,5959,5990,6063,5966,6114,5951,5978,6011,5971,6057,5985,5872,6127,5994,6054,5987,6071,6041,5918,5979,6007,5927,6026,5959,5931,5950,6031,6053,6016,6056,5906,6129,6035,5930,6076,5679,5848,6006,5994,6102,6044,6026,6027,5975,5982,6022,5768
,8,5867,5916,5866,5882,5895,5974,5905,5876,5913,5978,5947,5907,5861,5873,5824,5988,5950,5994,5819,5900,5948,5969,6078,5921,5783,5944,5914,6095,5950,5936,5888,5868,5944,5947,5944,5952,5874,5964,6039,6013,5897,6136,5970,5961,5909,5983,5988,5963,5803,5955,5989,6060,5965,6112,5953,5978,6007,5973,6056,5980,5869,6124,5992,6045,5982,6070,6038,5916,5973,6004,5929,6028,5959,5928,5947,6031,6051,6013,6054,5905,6129,6033,5929,6072,5683,5841,6006,5989,6102,6041,6020,6021,5970,5982,6014,5772
,9,5864,5913,5864,5881,5894,5970,5902,5875,5910,5975,5948,5907,5864,5870,5824,5986,5944,5989,5816,5896,5948,5964,6077,5919,5784,5933,5918,6088,5951,5936,5887,5871,5938,5950,5942,5949,5873,5959,6038,6008,5896,6132,5966,5960,5906,5982,5986,5961,5802,5951,5990,6055,5965,6109,5952,5976,6008,5969,6056,5977,5869,6122,5988,6047,5979,6068,6036,5915,5972,6007,5928,6023,5953,5927,5945,6028,6049,6012,6054,5904,6128,6031,5927,6070,5679,5843,6001,5991,6100,6038,6021,6019,5974,5978,6017,5767
,10,5856,5920,5860,5883,5890,5972,5901,5874,5911,5972,5948,5905,5860,5869,5823,5984,5942,5991,5814,5895,5946,5960,6076,5915,5782,5928,5916,6085,5947,5933,5885,5870,5936,5952,5940,5951,5872,5958,6037,6005,5897,6130,5964,5958,5907,5983,5985,5961,5796,5954,5982,6058,5959,6110,5950,5978,6004,5967,6055,5974,5866,6117,5988,6047,5980,6069,6033,5918,5970,6006,5925,6023,5950,5923,5942,6026,6047,6010,6053,5904,6129,6031,5927,6067,5680,5840,5997,5987,6098,6035,6019,6016,5972,5979,6016,5768
,11,5855,5917,5858,5882,5889,5973,5898,5876,5905,5974,5942,5905,5861,5865,5823,5982,5939,5988,5813,5895,5942,5962,6071,5915,5778,5933,5910,6089,5946,5935,5882,5869,5936,5949,5939,5947,5868,5956,6034,6004,5896,6129,5964,5958,5905,5981,5988,5957,5797,5949,5982,6057,5959,6109,5950,5976,6001,5970,6053,5972,5868,6115,5988,6040,5978,6065,6031,5913,5967,6004,5923,6020,5953,5919,5943,6025,6042,6014,6048,5908,6125,6029,5925,6065,5681,5835,5994,5987,6093,6035,6016,6013,5969,5974,6014,5770
,12,5857,5912,5860,5879,5892,5967,5900,5872,5906,5970,5943,5903,5861,5866,5822,5981,5937,5987,5812,5893,5943,5961,6072,5914,5780,5927,5912,6086,5946,5933,5884,5870,5935,5946,5937,5945,5870,5954,6032,6005,5892,6131,5961,5956,5906,5979,5983,5955,5794,5953,5980,6059,5958,6107,5948,5976,6003,5967,6053,5974,5865,6114,5986,6043,5976,6068,6029,5915,5963,6007,5921,6021,5949,5921,5940,6022,6045,6007,6050,5906,6125,6028,5926,6063,5679,5835,5993,5985,6094,6033,6017,6015,5969,5977,6009,5770
,13,5855,5915,5859,5880,5889,5969,5899,5873,5903,5972,5941,5904,5857,5866,5821,5978,5945,5983,5815,5896,5941,5959,6070,5916,5783,5928,5911,6083,5947,5930,5885,5869,5934,5951,5935,5945,5867,5954,6031,6002,5894,6127,5961,5958,5904,5983,5984,5958,5792,5953,5977,6060,5958,6105,5952,5976,6000,5967,6051,5971,5858,6114,5984,6045,5977,6066,6030,5916,5966,6006,5921,6021,5949,5918,5940,6020,6045,6004,6048,5906,6119,6030,5923,6062,5680,5834,5993,5983,6090,6032,6015,6014,5965,5975,6011,5767
,14,5852,5914,5856,5879,5889,5969,5899,5875,5902,5970,5942,5902,5857,5866,5821,5980,5937,5985,5813,5895,5940,5958,6071,5911,5776,5929,5907,6086,5944,5933,5883,5869,5934,5947,5936,5944,5863,5953,6030,6005,5893,6127,5960,5958,5902,5984,5984,5956,5797,5951,5980,6056,5960,6107,5949,5975,6005,5968,6055,5974,5860,6114,5984,6039,5974,6064,6029,5912,5965,6001,5927,6018,5945,5921,5936,6024,6042,6009,6047,5904,6120,6030,5925,6060,5679,5835,5989,5988,6088,6036,6015,6014,5966,5974,6012,5766
,15,5852,5917,5859,5879,5891,5970,5900,5872,5906,5970,5943,5901,5853,5866,5821,5980,5948,5988,5817,5894,5943,5960,6070,5913,5773,5926,5907,6085,5946,5933,5886,5868,5934,5947,5937,5943,5864,5953,6030,6005,5894,6127,5965,5956,5906,5983,5989,5956,5798,5953,5980,6058,5960,6108,5947,5976,6005,5969,6057,5977,5859,6113,5985,6044,5976,6065,6031,5914,5966,6005,5923,6021,5947,5917,5937,6023,6041,6010,6048,5906,6120,6035,5921,6062,5681,5833,5990,5986,6088,6032,6015,6014,5966,5980,6010,5772
,16,5853,5922,5856,5888,5891,5974,5900,5879,5907,5974,5946,5903,5853,5870,5823,5985,5951,5994,5817,5899,5943,5965,6071,5916,5780,5926,5912,6087,5948,5936,5887,5873,5935,5955,5935,5946,5868,5955,6032,6008,5894,6133,5961,5962,5906,5987,5989,5958,5798,5955,5982,6061,5962,6110,5953,5979,6008,5972,6057,5974,5863,6114,5987,6044,5979,6068,6030,5919,5965,6008,5926,6022,5945,5919,5940,6023,6044,6011,6052,5909,6125,6032,5923,6064,5684,5835,5993,5987,6093,6033,6019,6015,5968,5979,6011,5774
,17,5861,5924,5867,5890,5899,5979,5907,5885,5913,5979,5952,5908,5859,5877,5830,5990,5953,6000,5822,5906,5948,5972,6073,5922,5785,5937,5916,6095,5954,5941,5892,5882,5942,5960,5941,5953,5871,5960,6039,6011,5902,6134,5971,5965,5912,5996,5996,5960,5802,5963,5988,6068,5969,6116,5958,5986,6013,5978,6065,5980,5866,6118,5995,6050,5984,6077,6037,5924,5971,6015,5931,6028,5950,5926,5945,6030,6050,6015,6058,5915,6127,6041,5929,6071,5684,5840,5995,5993,6094,6045,6025,6027,5976,5984,6016,5772
,18,5866,5938,5879,5902,5909,5994,5919,5894,5921,5992,5961,5921,5869,5887,5842,6003,5965,6012,5835,5918,5960,5984,6085,5934,5799,5949,5929,6105,5965,5955,5905,5894,5956,5975,5955,5963,5881,5971,6049,6024,5914,6149,5980,5979,5923,6012,6007,5972,5814,5969,6002,6077,5980,6125,5974,5998,6024,5990,6074,5993,5878,6129,6004,6059,5993,6088,6046,5937,5979,6027,5944,6037,5961,5937,5955,6043,6061,6029,6070,5927,6141,6053,5940,6079,5699,5848,6006,6007,6105,6056,6036,6036,5988,5997,6028,5786
,19,5885,5960,5901,5928,5935,6019,5942,5918,5950,6015,5986,5942,5895,5910,5866,6029,5981,6034,5858,5942,5987,6007,6109,5955,5818,5959,5955,6126,5991,5978,5933,5917,5983,5998,5979,5986,5905,5995,6075,6049,5939,6173,6004,6004,5948,6040,6031,5996,5833,6000,6023,6107,6003,6152,5997,6024,6050,6014,6098,6015,5898,6151,6031,6092,6019,6118,6071,5963,6004,6052,5968,6062,5985,5964,5977,6071,6085,6056,6093,5952,6166,6080,5964,6102,5718,5875,6026,6029,6129,6076,6062,6059,6008,6023,6049,5813
,20,5924,6008,5945,5975,5980,6068,5989,5964,5993,6065,6027,5991,5933,5954,5912,6076,6033,6086,5905,5988,6035,6051,6157,5997,5855,6008,5996,6177,6036,6025,5980,5964,6027,6050,6026,6029,5942,6037,6122,6099,5983,6223,6046,6053,5994,6099,6081,6042,5873,6043,6073,6155,6047,6200,6047,6073,6092,6064,6149,6050,5940,6199,6076,6141,6062,6166,6117,6010,6044,6105,6017,6103,6027,6008,6021,6117,6128,6107,6143,6004,6216,6124,6007,6147,5759,5916,6070,6076,6173,6123,6109,6107,6058,6072,6096,5856
,21,5996,6097,6029,6066,6065,6164,6072,6056,6077,6157,6114,6075,6002,6039,5992,6174,6123,6188,5993,6078,6124,6145,6240,6084,5936,6093,6077,6269,6123,6116,6071,6053,6116,6148,6110,6113,6021,6122,6208,6192,6069,6317,6132,6140,6087,6196,6176,6121,5951,6136,6162,6256,6133,6293,6136,6158,6181,6153,6240,6137,6018,6286,6168,6236,6150,6258,6206,6097,6130,6194,6105,6192,6114,6093,6112,6206,6221,6192,6244,6087,6311,6217,6094,6223,5833,5995,6153,6166,6255,6209,6203,6196,6147,6163,6183,5933
,22,6135,6245,6190,6227,6223,6331,6227,6204,6242,6313,6272,6225,6137,6188,6142,6334,6272,6349,6144,6232,6284,6303,6393,6235,6074,6243,6217,6434,6275,6270,6228,6207,6280,6307,6268,6258,6161,6268,6364,6351,6222,6479,6277,6294,6245,6374,6339,6268,6099,6288,6323,6420,6285,6449,6289,6322,6326,6310,6401,6280,6155,6439,6323,6400,6300,6418,6356,6248,6272,6352,6264,6338,6260,6244,6255,6370,6371,6354,6401,6252,6467,6374,6240,6369,5963,6131,6298,6315,6407,6358,6370,6355,6305,6327,6323,6078
